ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2013-06-01,4418.766935086348,1365.5870633152338,10311.73451520919,4418.766935086348,4418.766935086348,0.30164005853501297,0.30164005853501297,0.30164005853501297,0.30164005853501297,0.30164005853501297,0.30164005853501297,0.0,0.0,0.0,5751.644052038374
2013-07-01,4412.926155785793,-182.3729176264303,8773.477059213128,4412.926155785793,4412.926155785793,-0.05030121544190313,-0.05030121544190313,-0.05030121544190313,-0.05030121544190313,-0.05030121544190313,-0.05030121544190313,0.0,0.0,0.0,4190.950606494402
2013-08-01,4406.890683841886,-841.5903119405556,7953.704138397862,4406.890683841886,4406.890683841886,-0.18073643126128447,-0.18073643126128447,-0.18073643126128447,-0.18073643126128447,-0.18073643126128447,-0.18073643126128447,0.0,0.0,0.0,3610.4049886857024
2013-09-01,4400.855211897979,-1233.5763339015873,7549.2842926536205,4400.855211897979,4400.855211897979,-0.28832702438405405,-0.28832702438405405,-0.28832702438405405,-0.28832702438405405,-0.28832702438405405,-0.28832702438405405,0.0,0.0,0.0,3131.9697239063785
2013-10-01,4395.014432597423,-1660.271589406603,7051.742088786153,4395.014432597423,4395.014432597423,-0.32340626172310477,-0.32340626172310477,-0.32340626172310477,-0.32340626172310477,-0.32340626172310477,-0.32340626172310477,0.0,0.0,0.0,2973.639244731998
2013-11-01,4388.978960653516,-1684.319058366598,7141.8310116424445,4388.978960653516,4388.978960653516,-0.38162462221968446,-0.38162462221968446,-0.38162462221968446,-0.38162462221968446,-0.38162462221968446,-0.38162462221968446,0.0,0.0,0.0,2714.036522863975
2013-12-01,4383.1381813529615,-626.3491927317243,8162.603018709222,4383.1381813529615,4383.1381813529615,-0.14914136479308135,-0.14914136479308135,-0.14914136479308135,-0.14914136479308135,-0.14914136479308135,-0.14914136479308135,0.0,0.0,0.0,3729.4309709093163
2014-01-01,4377.102709409054,1483.5006682511346,10082.430158779971,4377.102709409054,4377.102709409054,0.3247367059985186,0.3247367059985186,0.3247367059985186,0.3247367059985186,0.3247367059985186,0.3247367059985186,0.0,0.0,0.0,5798.508625079741
2014-02-01,4371.067237465147,3536.4239568901235,12566.387143317528,4371.067237465147,4371.067237465147,0.8319145914824423,0.8319145914824423,0.8319145914824423,0.8319145914824423,0.8319145914824423,0.8319145914824423,0.0,0.0,0.0,8007.421852663252
2014-03-01,4365.615843451295,6914.6971297815,15914.395231218348,4365.615843451295,4365.615843451295,1.619082895018976,1.619082895018976,1.619082895018976,1.619082895018976,1.619082895018976,1.619082895018976,0.0,0.0,0.0,11433.909781807128
2014-04-01,4359.580371507389,2896.764217495601,11489.78068670786,4359.580371507389,4359.580371507389,0.7028450542741198,0.7028450542741198,0.7028450542741198,0.7028450542741198,0.7028450542741198,0.7028450542741198,0.0,0.0,0.0,7423.689874331887
2014-05-01,4353.739592206834,1725.7029291919202,10596.756373846458,4353.739592206834,4353.739592206834,0.3771905549655685,0.3771905549655685,0.3771905549655685,0.3771905549655685,0.3771905549655685,0.3771905549655685,0.0,0.0,0.0,5995.929045166897
2014-06-01,4347.704120262926,988.6739183072359,9998.206764540013,4347.704120262926,4347.704120262926,0.2242738345345413,0.2242738345345413,0.2242738345345413,0.2242738345345413,0.2242738345345413,0.2242738345345413,0.0,0.0,0.0,5322.780394735917
2014-07-01,4341.863340962371,-594.0102621252319,8433.465951470338,4341.863340962371,4341.863340962371,-0.1095594663332939,-0.1095594663332939,-0.1095594663332939,-0.1095594663332939,-0.1095594663332939,-0.1095594663332939,0.0,0.0,0.0,3866.171110434441
2014-08-01,4335.827869018464,-779.8314892514379,7684.6654677546185,4335.827869018464,4335.827869018464,-0.17560966351361249,-0.17560966351361249,-0.17560966351361249,-0.17560966351361249,-0.17560966351361249,-0.17560966351361249,0.0,0.0,0.0,3574.414595887188
2014-09-01,4329.792397074557,-1145.1131972390353,7514.369507608263,4329.792397074557,4329.792397074557,-0.25407773333124734,-0.25407773333124734,-0.25407773333124734,-0.25407773333124734,-0.25407773333124734,-0.25407773333124734,0.0,0.0,0.0,3229.6885590309853
2014-10-01,4323.9516177740015,-1518.8378037086998,7532.863688364892,4323.9516177740015,4323.9516177740015,-0.2445410339518008,-0.2445410339518008,-0.2445410339518008,-0.2445410339518008,-0.2445410339518008,-0.2445410339518008,0.0,0.0,0.0,3266.568018405985
2014-11-01,4317.916145830094,-1563.8099268157946,7315.014818550804,4317.916145830094,4317.916145830094,-0.33955480250333187,-0.33955480250333187,-0.33955480250333187,-0.33955480250333187,-0.33955480250333187,-0.33955480250333187,0.0,0.0,0.0,2851.7469817068086
2014-12-01,4312.07536652954,-779.4507629972929,7873.134447419955,4312.07536652954,4312.07536652954,-0.13177495357879834,-0.13177495357879834,-0.13177495357879834,-0.13177495357879834,-0.13177495357879834,-0.13177495357879834,0.0,0.0,0.0,3743.8518352768297
2015-01-01,4306.039894585633,574.8730697244721,9913.253866696637,4306.039894585633,4306.039894585633,0.1824029571778952,0.1824029571778952,0.1824029571778952,0.1824029571778952,0.1824029571778952,0.1824029571778952,0.0,0.0,0.0,5091.474305084044
2015-02-01,4300.004422641726,2308.991018944229,10878.548284936709,4300.004422641726,4300.004422641726,0.5732329562894015,0.5732329562894015,0.5732329562894015,0.5732329562894015,0.5732329562894015,0.5732329562894015,0.0,0.0,0.0,6764.908669890143
2015-03-01,4294.553028627874,8115.063992434245,17136.53742757509,4294.553028627874,4294.553028627874,1.9840050901833866,1.9840050901833866,1.9840050901833866,1.9840050901833866,1.9840050901833866,1.9840050901833866,0.0,0.0,0.0,12814.968097488054
2015-04-01,4288.517556683967,3314.03713541909,11674.851658609261,4288.517556683967,4288.517556683967,0.7192110606445383,0.7192110606445383,0.7192110606445383,0.7192110606445383,0.7192110606445383,0.7192110606445383,0.0,0.0,0.0,7372.8668172193675
2015-05-01,4282.676777383412,1285.642521997782,10146.716918534392,4282.676777383412,4282.676777383412,0.3246282060376941,0.3246282060376941,0.3246282060376941,0.3246282060376941,0.3246282060376941,0.3246282060376941,0.0,0.0,0.0,5672.954456664682
2015-06-01,4276.641305439504,758.3072995475773,9326.123169336326,4276.641305439504,4276.641305439504,0.14607669216217423,0.14607669216217423,0.14607669216217423,0.14607669216217423,0.14607669216217423,0.14607669216217423,0.0,0.0,0.0,4901.358920902229
2015-07-01,4270.80052613895,-1074.7647684395308,8093.659386508286,4270.80052613895,4270.80052613895,-0.16691423585288712,-0.16691423585288712,-0.16691423585288712,-0.16691423585288712,-0.16691423585288712,-0.16691423585288712,0.0,0.0,0.0,3557.9431198383586
2015-08-01,4264.7650541950425,-825.0587206508375,7674.086708974986,4264.7650541950425,4264.7650541950425,-0.16790273256340976,-0.16790273256340976,-0.16790273256340976,-0.16790273256340976,-0.16790273256340976,-0.16790273256340976,0.0,0.0,0.0,3548.6993478547565
2015-09-01,4258.729582251135,-908.5603928897974,7282.574097614112,4258.729582251135,4258.729582251135,-0.21791805260519526,-0.21791805260519526,-0.21791805260519526,-0.21791805260519526,-0.21791805260519526,-0.21791805260519526,0.0,0.0,0.0,3330.675525114831
2015-10-01,4252.888802950581,-865.0709927153733,7488.601568669483,4252.888802950581,4252.888802950581,-0.1658822699183556,-0.1658822699183556,-0.1658822699183556,-0.1658822699183556,-0.1658822699183556,-0.1658822699183556,0.0,0.0,0.0,3547.40995460678
2015-11-01,4246.853331006673,-1584.078060877443,7432.815916692644,4246.853331006673,4246.853331006673,-0.2995326454756353,-0.2995326454756353,-0.2995326454756353,-0.2995326454756353,-0.2995326454756353,-0.2995326454756353,0.0,0.0,0.0,2974.7821178232307
